,url,Position,Company,Location,Job_Description
1,https://www.glassdoor.com/partner/jobListing.htm?pos=618&ao=1136043&s=58&guid=00000187fca3a2f3be8608e34521841e&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_67fa2b50&cb=1683570795650&jobListingId=1008563374561&jrtk=3-0-1gvua78otjc9o801-1gvua78phgagq800-9f0740bee4dd3acf-,Front End Developer,"Azlaan Technologies, Pvt Ltd",Rāwalpindi,"Azlaan technologies require the services of a Front End Developer. We are hiring for two shifts. The Shift job timings are as follows: 10:45 a.m.-7:45 p.m. Night Shift: 8:00 p.m.-5:00 a.m. (Overnight shift). Candidate can be hired for either shift.
Those who will join will sign a bond of 2 years minimum.
Job Specifications
Position: Front End Developer
Job Type: Full Time with 02 years mandatory contract
Disclaimer: By Applying to this job, you accept that you can be contacted late night up to 12:00 a.m.
Job Responsibilities:
Write well-designed, testable, efficient code by using best software development practices
Develop new user-facing features with reusable code and libraries for future use
Decompose complex ideas and requirements into the most straightforward and user-friendly functionality
Ensure the technical feasibility of UI/UX designs
Use markup languages like HTML to create user-friendly web pages
Maintain, improve and optimize website and web applications
Design mobile-based features
Collaborate with back-end developers and web designers to improve the usability
Get feedback from, and build solutions for, users and customers
Help back-end developers with integration and troubleshooting
Stay up-to-date on emerging technology Requirements
Hands-on experience with markup languages
Familiarity with browser testing and debugging
Understanding of layout aesthetics
Skills Required:
1. Proven work experience of at least 02 years as a Front-end developer with good problem solving skills.
2. PSD, XD, Figma Design to HTML conversion
3. Experience with HTML5, CSS3, Bootstrap, JavaScript, jQuery, Front end validation, Ajax, XML HTTP, JSON
4. Experience with UI mock-up implementation.
5. Experience with APIs integration
6. Experience with Vuejs/React in an added advantage
Benefits: Health Insurance, Provident Fund & Paid Holidays.
Job Type: Full-time
Pay: Rs60,000.00 - Rs100,000.00 per month
Ability to commute/relocate:
Rawalpindi: Reliably commute or planning to relocate before starting work (Required)
Education:
Bachelor's (Required)
Experience:
Front End Development: 2 years (Required)
Shift availability:
Day Shift (Preferred)
Night Shift (Preferred)"
2,https://www.glassdoor.com/partner/jobListing.htm?pos=1325&ao=1136043&s=58&guid=00000187fca3e7dd8fe9f1bd6fb6a68b&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_10baa966&cb=1683570813198&jobListingId=1008579351587&jrtk=3-0-1gvua7q0ogfqj801-1gvua7q1ah7ju800-81f18b4abc1887f3-,Software Q A Engineer/ Code Analyzer,Assistech Solutions,Islamabad,"Location: Onsite
Our team is expanding, and we are looking for technical resources.
Our team will provide full time training and guidance with the required tools and techniques for Code Compliance.
If you're looking for a competitive and enjoyable atmosphere.
Technical Post:
Code Analyzer/ QA
Responsibilities for CA/ QA Engineer
Create tests to identify software problems.
Analyze bugs and errors found during tests.
Document results of tests for the software development team.
Recommend improvements in software to enhance user experience.
Motivate the development process for efficiency and performance.
Works together with the software developer to enhance and improve programs.
Research and compare similar competitor products.
Maintain updated knowledge of industry trends and advancements.
Requirements:
Ms./ Bs. in Software Engineering, Computer Engineering, or Computer Science
Understanding of scripting language preferred Python
In-depth understanding of Java, Python, SQL
Exceptional attention to detail
Excellent analytical and problem-solving skills
Good oral and written communication skills
Great team player and self reliant.
Job Type: Full-time
Salary: From Rs100,000.00 per month
Ability to commute/relocate:
Islamabad: Reliably commute or planning to relocate before starting work (Required)
Experience:
Relevant: 1 year (Preferred)"
3,https://www.glassdoor.com/partner/jobListing.htm?pos=1509&ao=1136043&s=58&guid=00000187fca3f91680e35644c1f6c4c8&src=GD_JOB_AD&t=SR&vt=w&cs=1_6c79bd66&cb=1683570817591&jobListingId=1008622905397&jrtk=3-0-1gvua7ua4p6em801-1gvua7uaq2966000-c1abde533eda9ee1-,AI/Machine Learning Engineer,Reach First,Islamabad,"Job Timings: Hourly based
Work Model: Remote
Responsibilities:
Designing and developing AI and ML models: Developing and training machine learning models using Python and ML libraries like TensorFlow, PyTorch, and scikit-learn and working in Image processing.
Data Preprocessing: Preprocessing raw data such as cleaning, filtering, and normalizing data to be used in machine learning algorithms.
Algorithm Development: Developing algorithms for various Machine learning problems such as Classification, Regression, and Clustering.
Identifying and extracting relevant features from raw data that can be used in machine learning algorithms.
Testing and validating the performance of AI and ML models using statistical techniques and measures like cross-validation and confusion matrices.
Deploying and integrating AI and ML models into production environments and maintaining model accuracy.
Collaborating with data scientists, software developers, and business analysts to identify business problems and develop solutions that meet business requirements.
Staying up to date with industry developments: Keeping up-to-date with new machine learning and AI developments and technologies, attending conferences and seminars, and staying abreast of new techniques and algorithms.
Performing other tasks as per the requirements.
Requirements:
Proficiency in programming languages Python and knowledge of machine learning libraries such as TensorFlow, PyTorch, and scikit-learn.
Good knowledge of machine learning algorithms such as supervised learning, unsupervised learning, and reinforcement learning.
Experience with deep learning frameworks such as Keras, TensorFlow, and PyTorch.
Strong knowledge of mathematical and statistical concepts, including linear algebra, calculus, and probability.
Data analysis and data preprocessing: Experience with data analysis and data preprocessing tools such as Pandas, Numpy, and SciPy.
Ability to identify and solve complex problems using AI and ML techniques.
Ability to work collaboratively with cross-functional teams and effectively communicate technical concepts to non-technical stakeholders
Job Types: Part-time, Temporary, Contract, Commission"
4,https://www.glassdoor.com/partner/jobListing.htm?pos=906&ao=1136043&s=58&guid=00000187fca3bcabb945d50abab77147&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2cb323d4&cb=1683570802092&jobListingId=1008631347205&jrtk=3-0-1gvua7f6mirkl801-1gvua7f77ghp5800-d2186b6ebfcbed65-,Web Developer,H&S Real Estate,Islamabad,"We are looking for a skilled in-house web developer who will be responsible for developing and designing websites for our company. You will be working alongside a team of other developers in creating, maintaining, and updating our websites.
Candidates need to be proficient in JavaScript, HTML, CSS and have solid knowledge and experience in programming applications.
Responsibilities:
– Website and software application designing, building, or maintaining.
– Using scripting or authoring languages, management tools, content creation tools, applications, and digital media.
– Conferring with teams to resolve conflicts, prioritize needs, develop content criteria, or choose solutions.
– Directing or performing Website updates.
– Developing or validating test routines and schedules to ensure that test cases mimic external interfaces and address all browser and device types.
– Editing, writing, or designing Website content, and directing team members who produce content.
– Maintaining an understanding of the latest Web applications and programming practices through education, study, and participation in conferences, workshops, and groups.
– Back up files from Web sites to local directories for recovery.
– Identifying problems uncovered by customer feedback and testing, and correcting or referring problems to appropriate personnel for correction.
– Evaluating code to ensure it meets industry standards, is valid, is properly structured, and is compatible with browsers, devices, or operating systems.
– Determining user needs by analyzing technical requirements.
Requirements:
– Proven work experience as a Web Developer.
– Bachelor’s degree in Web development or related field, or relevant experience.
– Solid knowledge and experience in programming applications.
– Proficient in JavaScript, HTML, CSS.
– Proficient in My SQL.
– Dedicated team player.
– Ability to thrive in a fast-paced environment.
– Solid ability in both written and verbal communication.
– Knowledge of programming language and technical terminology.
– Able to develop ideas and processes and clearly express them.
– A high degree of independent judgment.
– Able to solve complex problems.
Job Type: Full-time
Salary: Rs60,000.00 - Rs100,000.00 per month
Ability to commute/relocate:
Islamabad: Reliably commute or planning to relocate before starting work (Required)"
5,https://www.glassdoor.com/partner/jobListing.htm?pos=1423&ao=1136043&s=58&guid=00000187fca3f07da8e9905b0855daa2&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_5f565da1&cb=1683570815435&jobListingId=1008588586549&jrtk=3-0-1gvua7s55jorl801-1gvua7s5uh7jf800-c567d2e007b8975f-,Web Developer (Internship program),11-Seas Consultants Pvt Ltd,Lahore,"11SEAS Consultants Pvt Ltd requires 5 x Trainee who have exposure to programming and spark to learn quickly.
This position is based in Lahore,Vihari and Bhakhar.
Job details: Internship program
Send Your resume at : hr@11-seas.com with city you are interested in
For example : your name + job site + internship
Responsibilities:
Training in a relevant technology stack.
Development of enterprise applications.
Maintenance and upgrades (new features, refactoring, bug fixing) of existing programs
Additional duties as assigned.
Requirements:
Degree:
Bs/Ms in computer science
Strong Concepts, understanding or skills of:
OOP, Data structure , Operating system and programming basics
Web Development, Java Script, My Sql, Html, CSS, PHP
Software development principles.
Multi Tasking and Problem Solving
Positive attitude and strong work ethics.
Ability to quickly adapt to a changing environment.
Ability to quickly learn new concepts and software is necessary.
Candidate should be a self-motivated, independent, detail oriented, responsible team-player.
Good communication skills, both written and oral.
Excellent teamwork and interpersonal skills.
Willingness to learn and attention to detail.
A sharp mind with the ability to grasp concepts quickly and work out complex logic problems.
Ability to use effective ways of Programming.
Should able to design large scale Software.
Good in Mathematics and Statistics
About this Internship program:
It is a 3-month paid internship opportunity which will lead to a full time job based on performance of the incumbent.
Our full time jobs offer market competitive remuneration package, on-job training and exponential career growth to the
interns transitioned to full time Associate Engineers.
Company lunch/dinner will be provided.
Benefits:
Competitive base salary and performance-driven incentives.
Paid Holidays
Sports and Entertainment
If you wish to know more about our company then you can visit our company website: www.11-Seas.com
Best Regards,
Senior HR & Admin Executive.
11-Seas consultants pvt ltd.
Job Types: Full-time, Internship
Contract length: 3 months
Salary: Rs10,000.00 - Rs20,000.00 per month
Ability to commute/relocate:
Lahore: Reliably commute or planning to relocate before starting work (Required)
Application Deadline: 23/04/2023
Expected Start Date: 01/04/2024"
6,https://www.glassdoor.com/partner/jobListing.htm?pos=1906&ao=1136043&s=58&guid=00000187fca41bf6ae64f5c21b7c9c9b&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4494f7b5&cb=1683570826514&jobListingId=1008631347205&jrtk=3-0-1gvua871ema77801-1gvua871u20ba000-d2186b6ebfcbed65-,Web Developer,H&S Real Estate,Islamabad,"We are looking for a skilled in-house web developer who will be responsible for developing and designing websites for our company. You will be working alongside a team of other developers in creating, maintaining, and updating our websites.
Candidates need to be proficient in JavaScript, HTML, CSS and have solid knowledge and experience in programming applications.
Responsibilities:
– Website and software application designing, building, or maintaining.
– Using scripting or authoring languages, management tools, content creation tools, applications, and digital media.
– Conferring with teams to resolve conflicts, prioritize needs, develop content criteria, or choose solutions.
– Directing or performing Website updates.
– Developing or validating test routines and schedules to ensure that test cases mimic external interfaces and address all browser and device types.
– Editing, writing, or designing Website content, and directing team members who produce content.
– Maintaining an understanding of the latest Web applications and programming practices through education, study, and participation in conferences, workshops, and groups.
– Back up files from Web sites to local directories for recovery.
– Identifying problems uncovered by customer feedback and testing, and correcting or referring problems to appropriate personnel for correction.
– Evaluating code to ensure it meets industry standards, is valid, is properly structured, and is compatible with browsers, devices, or operating systems.
– Determining user needs by analyzing technical requirements.
Requirements:
– Proven work experience as a Web Developer.
– Bachelor’s degree in Web development or related field, or relevant experience.
– Solid knowledge and experience in programming applications.
– Proficient in JavaScript, HTML, CSS.
– Proficient in My SQL.
– Dedicated team player.
– Ability to thrive in a fast-paced environment.
– Solid ability in both written and verbal communication.
– Knowledge of programming language and technical terminology.
– Able to develop ideas and processes and clearly express them.
– A high degree of independent judgment.
– Able to solve complex problems.
Job Type: Full-time
Salary: Rs60,000.00 - Rs100,000.00 per month
Ability to commute/relocate:
Islamabad: Reliably commute or planning to relocate before starting work (Required)"
7,https://www.glassdoor.com/partner/jobListing.htm?pos=2330&ao=1136043&s=58&guid=00000187fca43ecf951040dc49f84c8f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_27e017c5&cb=1683570835407&jobListingId=1008621583002&jrtk=3-0-1gvua8fnmpkkt801-1gvua8fo7jc8k800-871b1598a5617165-,WordPress Developer,CloudRCM Solutions3.7★,Rāwalpindi,"Job description
About Us:
Leading the industry for the last 2 decades, iPlex is dedicated to providing excellence and innovation in Web Solutions and Back Office Support Services globally with cost-effective software development and implementation of solutions/services. Our pace is tremendously advancing with the implication of skilled and proficient people.
We, at iPlex, are always on the look for talented professionals to join us. If you're excited to be part of a winning team, iPlex is a great place to grow your career.
Description:
We are looking for an experienced WordPress Developer to join our technical team.
Responsibilities:
HTML5 & CSS3, Bootstrap, jQuery.
Able to develop Custom WordPress themes from scratch using static HTML converted from PSD, Figma, Illustrator, Adobe XD and Sketch etc.
Knowledge about Gutenberg Blocks, Custom Post Types, and Custom meta boxes.
Must have the ability to write custom WordPress queries.
Must know ACF Advanced Custom Fields and ACF Pro.
Having Core PHP experience minimum of 3 years.
Knowledge of OOP concepts in PHP.
Able to write complex SQL Queries.
Able to code plugins from scratch.
Must have developed at least one to two plugins.
Experience in writing WooCommerce extensions and Working with APIs would be a plus point.
Requirements:
3+ years of proven development experience.
Bachelor's degree in Computer Science, Computer Engineering, or related field.
PHP Core, CSS3, JavaScript, Plugin Development, Advance Custom Fields (ACF), DIVI Theme Builder.
Job Type: Full-time
Salary: Rs70,000.00 - Rs120,000.00 per month
Ability to commute/relocate:
Rawalpindi: Reliably commute or planning to relocate before starting work (Required)
Education:
Bachelor's (Preferred)
Experience:
Plugins Development from Scratch: 2 years (Preferred)
PHP Core: 2 years (Preferred)
Theme customization: 2 years (Preferred)"
8,https://www.glassdoor.com/partner/jobListing.htm?pos=305&ao=1136043&s=58&guid=00000187fca38110b6048c453f3b64c8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b80e4767&cb=1683570786921&jobListingId=1008622240807&jrtk=3-0-1gvua70a4kcn2801-1gvua70alghr7800-79de529479ef8688-,Jr. Frontend Developer.(React),Gitlogix,Islamabad,"Job description
GITLOGIX is hiring a JR. FRONT-END developers for its office in Islamabad.
Responsibilities:
Determining the structure and design of web pages.
Ensuring user experience determines design choices.
Developing features to enhance the user experience.
Striking a balance between functional and aesthetic design.
Ensuring web design is optimized for smartphones.
Building reusable code for future use.
Optimizing web pages for maximum speed and scalability. Roles and responsibilities
Skills:
Minimum 1-1.5 Years of Software Development experience.
1 years of hardcore experience in React.js (17.0.2), understands its core principles.
Strong knowledge of Webpack, Gulp, Grunt, Babel etc.
Demonstrated strong UI and UX skills.
Expert in making GUI using SASS, less & vanilla CSS.
Experience with front-end state management like Redux. Solid understanding of HTTP communication and interaction with RESTful APIs
Understanding of version control concepts and tools, like Git, SVN.
Ability to multitask, organize, and prioritize work
Proficiency in at least one server-side technology Nodejs/Python will be preferred.
Any experience of browser extensions will be a major plus.
Strong oral and written communication skills (English required).
Education:
Bachelors or equivalent degree in Computer Science.
Benefits:
Annual Bonus
Eid Bonus
Annual increment
Job Type: Full-time
Ability to commute/relocate:
Islamabad: Reliably commute or planning to relocate before starting work (Required)
Education:
Bachelor's (Required)
Experience:
SASS: 1 year (Preferred)
React.js: 1 year (Required)
Redux: 1 year (Required)"
9,https://www.glassdoor.com/partner/jobListing.htm?pos=515&ao=1136043&s=58&guid=00000187fca39a7fb4208d0494dc31ba&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2918033f&cb=1683570793409&jobListingId=1008588586549&jrtk=3-0-1gvua76mfkbmu801-1gvua76muh7jf800-c567d2e007b8975f-,Web Developer (Internship program),11-Seas Consultants Pvt Ltd,Lahore,"11SEAS Consultants Pvt Ltd requires 5 x Trainee who have exposure to programming and spark to learn quickly.
This position is based in Lahore,Vihari and Bhakhar.
Job details: Internship program
Send Your resume at : hr@11-seas.com with city you are interested in
For example : your name + job site + internship
Responsibilities:
Training in a relevant technology stack.
Development of enterprise applications.
Maintenance and upgrades (new features, refactoring, bug fixing) of existing programs
Additional duties as assigned.
Requirements:
Degree:
Bs/Ms in computer science
Strong Concepts, understanding or skills of:
OOP, Data structure , Operating system and programming basics
Web Development, Java Script, My Sql, Html, CSS, PHP
Software development principles.
Multi Tasking and Problem Solving
Positive attitude and strong work ethics.
Ability to quickly adapt to a changing environment.
Ability to quickly learn new concepts and software is necessary.
Candidate should be a self-motivated, independent, detail oriented, responsible team-player.
Good communication skills, both written and oral.
Excellent teamwork and interpersonal skills.
Willingness to learn and attention to detail.
A sharp mind with the ability to grasp concepts quickly and work out complex logic problems.
Ability to use effective ways of Programming.
Should able to design large scale Software.
Good in Mathematics and Statistics
About this Internship program:
It is a 3-month paid internship opportunity which will lead to a full time job based on performance of the incumbent.
Our full time jobs offer market competitive remuneration package, on-job training and exponential career growth to the
interns transitioned to full time Associate Engineers.
Company lunch/dinner will be provided.
Benefits:
Competitive base salary and performance-driven incentives.
Paid Holidays
Sports and Entertainment
If you wish to know more about our company then you can visit our company website: www.11-Seas.com
Best Regards,
Senior HR & Admin Executive.
11-Seas consultants pvt ltd.
Job Types: Full-time, Internship
Contract length: 3 months
Salary: Rs10,000.00 - Rs20,000.00 per month
Ability to commute/relocate:
Lahore: Reliably commute or planning to relocate before starting work (Required)
Application Deadline: 23/04/2023
Expected Start Date: 01/04/2024"
10,https://www.glassdoor.com/partner/jobListing.htm?pos=712&ao=1136043&s=58&guid=00000187fca3ab89832c7ca27c64aa8e&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f524cea2&cb=1683570797777&jobListingId=1008509378121&jrtk=3-0-1gvua7atskbmu801-1gvua7aubii0u800-3e979f529ebf5b29-,Fresh Web Developer,Dr Haroon Dental Specialist Clinic Peshawar,Islamabad,"Responsibilities
Write well designed, testable, efficient code by using best software development practices
Create website layout/user interface by using standard HTML/CSS practices
Integrate data from various back-end services and databases
Gather and refine specifications and requirements based on technical needs
Create and maintain software documentation
Be responsible for maintaining, expanding, and scaling our site
Stay plugged into emerging technologies/industry trends and apply them into operations and activities
Cooperate with web designers to match visual design intent
Job Types: Full-time, Contract, Internship
Salary: Rs25,000.00 - Rs35,000.00 per month
Ability to commute/relocate:
Islamabad: Reliably commute or planning to relocate before starting work (Required)"
